Moça;Wando;lQ1Wcyw30Xo
Eu Não Sou Cachorro Não;Waldik Soriano;PxNmQYbbkco
I Can See Cleary Now;Johnny Nash;FscIgtDJFXg
Run To Me;Bee Gees;X89fCiZs_Lc
Regra Três;Toquinho & Vinicius;dVO6ZOb45oA
Theres No More Corns On The Brasos;The Walkers;YnbcTCBB_M4
Got To Be There;Michael Jackson;BTxvWW667Mg
Day After Day;Badfinger;-btv-7GkVk0
I Am So Happy;Trio Galleta;ifMuAvaPOd0
Saturday In The Park;Chicago;PLiMy4NaSKc
Precious And Few;Climax;I95xCjQe6Jg
A Montanha;Roberto Carlos;rybX96pg2yY
Oração de Um Jovem Triste;Antonio Marcos;88hqwru13m4
Vou Tirar Você Deste Lugar;Odair José;xFezy2bX4fs
Dose Pra Leão;Cesar Costa Filho;7mNAkLiZ1Pg
Pérola Negra;Gal Costa;psGNk17ByJo
Sacramento;Middle Of The Road;HtAZ8jXYL-w
Nada Será Como Antes;Elis Regina;eDr3u5MF2HQ
Oh Girl;Chi-Lites;pjN8huzS2Nc
Dont Wanna Say Goodbye;Raspberries;EQZVjR19pbk
Bala Com Bala;Elis Regina;KDoYXygtKUw
Song Sung Blue;Neil Diamond;ighSddnnaPE
Everything I Own;Bread;2i43aAn2rq8
So Far Away;Carole King;1GAaWz4X4nU
Mon Amour, Meu Bem, Ma Femme;Reginaldo Rossi;xnwTsQuenrc
A Taste Of Excitment;Carnaby St. Pop Orchestra And Choir;et5jTkv8hPo
Quando as Crianças Saírem de Férias;Roberto Carlos;JcGJRIZVhfY
Mercy Mercy Me (The Ecology);Marvin Gaye;EMuWmU1iNJo
Frightened Girl;Silent Majority;WZX7IcsesJU
Son Of My Father;Giorgio;8pFiM0-gpYU
I Wanna Be Where You Are;Jose Feliciano;Mgx5NSZJnRE
La Question;Françoise Hardy;D-lIxIYmdKM
O Lado Direito da Rua Direita;Os Originais do Samba;780-_d1OZL8
Im Still In Love With You;Al Green;M8AtyaxgtOU
Esse Mar é Meu;Eliana Pittman;8hfs2VTcHiA
San Vicente;Milton Nascimento;6nFrpjjQ0vU
Beira Mar;Eliana Pittman;wLFC7dBJgCs
Violão Não Se Empresta a Ninguém;Benito Di Paula;a_LrC3ZJxoU
Hurting Each Other;Carpenters;sqkVNHwJfKc
Pop Concerto;Pop Concerto Orchestra;X57anhQGIWA
Preta Pretinha;Os Novos Baianos;P4t3-cv4lGY
Martim Cererê;Zé Catimba & Brasil Ritmo 67;yjcDFvnKPBo
Cais;Milton Nascimento;frHaMD7eVfA
Casa e Comida;Núbia Lafayette;CM-__L9Y7HI
Cravo e Canela;Milton Nascimento;MVnfXLlrhPo
Baby Im - A Want You;Bread;Iq3biClGRNk
Where Is The Love;Roberta Flack & Donny Hathaway;ZcHPNUN-U8E
Índia;Gal Costa;jEfM31fFx3o
Going Back To Indiana;Jackson 5;CMgg1CZw0hc
Long Cool Woman (In A Black Dress);The Hollies;1l0xpkk0yaQ
Remember Me;Diana Ross;vJwp3EOZtHU
Taj Mahal;Jorge Ben;WYOojpMqQSQ
The Candy Man;Sammy Davis, Jr.;AIPGyKGuWeA
Mucuripe;Elis Regina;v_2JlpKZWKk
Segure Tudo;Martinho da Vila;aPsHzUUeFbk
Floy Joy;Supremes;DmAaz2e1G5U
Por Deus Eu Juro;Claudia Barroso;wkv2vqekUKg
O Menino da Gaita;Sergio Reis;4nK7Fz-Z1Ok
Ninguém Tasca (O Gavião);Golden Boys;RF5dr7Bt4xo
Meu Guarda Chuva;Elizabeth Viana;fIqLoZsT69Q
Heart Of Gold;Neil Young;pO8kTRv4l3o
Oração de Mãe Menininha;Dorival Caymmi;pho4iG14j6M
Stick Up;Honey Cone;56mV2KW64D8
Skyline Pigeon;Elton John;nPzlGklVNb0
Jogo do Amor;Milionário & José Rico;oxS0quDo2sY
How Do You Do?;Mouth & MacNeal;6QXyqk9flwk
Quando o Carnaval Chegar;Chico Buarque;bXqfDZIa7_U
American Pie;Don McLean;uAsV5-Hv-7U
Hoje Ainda é Dia de Rock;Sá, Rodrix & Guarabyra;vX2L4GNtSWc
Dança do Escorregador;Manhoso;qQ89lRVuWf4
The Lion Sleeps Tonight;Robert John;Q7mDzwYcZiM
Cavaleiro de Aruanda;Ronnie Von;NrJsoxCHYXg
Detalhes;Roberto Carlos;OzHNluOdrhA
Tarde em Itapoã;Toquinho, Vinicius & Marília Medalha;CnT4-454jBc
Its Too Late;Carole King;BDm1xD_Kwyc
Você Abusou;Antonio Carlos & Jocafi;_LoLTtBDPIk
How Can You Mend A Broken Heart;Bee Gees;pTQiT58AbE0
Have You Ever Seen The Rain;Creedence Clearwater Revival;Gu2pVPWGYMQ
Debaixo dos Caracóis dos Seus Cabelos;Roberto Carlos;jZUXxF3C1FI
Ê Baiana;Clara Nunes;X_rcY9oFMoI
Maggie May;Rod Stewart;7T5hYlUsQ0s
Candida;Dawn;B6krs-w4DQg
Never Can Say Goodbye;Jackson 5;IvmqYZr0RFo
Menina da Ladeira;João Só;DGuUGDBts1E
