 Wando
 Marco Antonio
 Walter Wanderley
 Moreira da Silva
 Ketty Lester
 The Marcels
 Nat King Cole
 Djalma Ferreira
 Garry Miles
 Trio Cristal
 João Gilberto
 Del Shannon
 Paul Anka
 Teixeirinha
 Melina Mercouri
 The Highwaymen
 Fernando Barreto
 Os Cometas
 String A Longs
 Clério Morais
 Dilermando Reis
 The Shadows
 Osny Silva
 Don Costa
 Cantores de Ébano
 Sônia Mamede
 Carequinha
 Wilma Bentivegna
 Linda Batista
 Jorge Loredo
 Ronnie Lummer
 José Orlando
 Nora Ney
 Rogéria
 Altamiro Carrilho
 Carminha Nascimento
 Léo Belico
 Trio Irakitan

 Dolores Duran
 Connie Francis
 The Brothers Four
 Sarita Montiel
 Dalva de Andrade
 Cláudio de Barros
 Doris Day
 Ronald Golias
 Osmar Navarro
 Luis Claudio
 Dion & The Belmonts
 Nélson Novais
 Johnnie Ray
 Gilberto Alves
 Luis Vanderley
 Everly Brothers
 Franquito
 Poly e seu conjunto
 Sonia Dutra
 Zilá Fonseca
 Jinny Isle
 Trio Los Panchos
 Johnny Restivo
 Agostinho dos Santos
 Dionísio Bernardo
 Silvia Telles
 Gordurinha
 Little Richard
 Leo Romano
 Rocco Granata
 Gregorio Barrios
 Osvaldo Rodrigues
 Bob Azzam
 Antonio Martins
 Risadinha
 Celly Campelo
 The Platters
 Sylvia Telles
 Germano Mathias
 Bob Crosby Orchestra
 Trigêmeos Vocalistas
 Sid Grey Orchestra
 Elza Laranjeira
 Don Taylor
 Zezé Gonçalves
 Frankie Avalon
 Silvio Mazzuca
 Umberto Marcato
 Marlene
 Lloyd Price
 Joselito
 Ritchie Valens
 Duo Guarujá
 Inezita Barroso
 Regiane & The Avalons
 Orlando Silva
 Cascatinha & Inhana
 Sergio Murillo
 Conway Twitty
 Big Bopper
 Jairo Aguiar
 Cozy Cole
 Dodie Stevens
 Little Anthony & The Imperials
 The Avalons
 Dupla Ouro e Prata
 Severino Araújo & Orquestra Tabajara
 Paulo Molin
 Domenico Modugno
 The Playings
 Neuza Maria
 Roberto Luna
 Coral do Caneco
 Victor Young
 Perez Prado
 The Diamonds
 Kalin Twins
 César de Alencar
 Oscar Ferreira
 Vic Damone
 The Champs
 Harry Belafonte
 Percy Faith
 Gordon Jenkins
 Renato de Oliveira
 Francisco Carlos
 Jane Morgan
 Dorinha Freitas
 Ivete Siqueira
 Arrelia & Pimentinha
 Palmeira & Biá
 Franck Pourcel
 Nilza Miranda
 Luiz Bonfá
 Little Joe
 Roberto Audi & Leny Eversong
 Poly & Seu Conjunto
 Onilda Figueiredo
 Bill Haley & His Comets
 Gilvan Chaves
 Albertinho Fortuna
 Hector Lagna Fietta
Pharrell Williams
Lorde
John Legend
Anitta
Anitta f& Projota
Henrique & Juliano
One Direction
Marcos & Belutti
Katy Perry ft Juicy J
Lucas Lucco
Magic!
Taylor Swift
Malta
Bastille
Psirico
Cristiano Araújo
Calvin Harris
Jorge & Mateus
Jason Derulo & Snoop Dogg
Coldplay
